"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"10/05/2026 13:00:00 - 10/05/2026 13:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","2354.68"
"10/05/2026 13:15:00 - 10/05/2026 13:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","2353.02"
"10/05/2026 13:30:00 - 10/05/2026 13:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","2324.76"
"10/05/2026 13:45:00 - 10/05/2026 14:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2340.15"
"10/05/2026 14:00:00 - 10/05/2026 14:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","2341.77"
"10/05/2026 14:15:00 - 10/05/2026 14:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","2338.74"
"10/05/2026 14:30:00 - 10/05/2026 14:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","2341.59"
"10/05/2026 14:45:00 - 10/05/2026 15:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2331.05"
"10/05/2026 15:00:00 - 10/05/2026 15:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","2363.11"
"10/05/2026 15:15:00 - 10/05/2026 15:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","2372.86"
"10/05/2026 15:30:00 - 10/05/2026 15:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","2386.04"
"10/05/2026 15:45:00 - 10/05/2026 16:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2428.18"
"10/05/2026 16:00:00 - 10/05/2026 16:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","2490.08"
"10/05/2026 16:15:00 - 10/05/2026 16:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","2589.28"
"10/05/2026 16:30:00 - 10/05/2026 16:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","2616.15"
"10/05/2026 16:45:00 - 10/05/2026 17:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2791.23"
"10/05/2026 17:00:00 - 10/05/2026 17:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","3081.14"
"10/05/2026 17:15:00 - 10/05/2026 17:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","3436.44"
